Experiment,Threshold,Strain,Replicate,Area_px,Circularity,Length_px,Area_micron,Length_micron
20170601,-5,EV,B,203.375,0.98886746,16.76879,3.615555556,2.235838667
20170601,-5,EV,B,214.66016,0.90434766,21.077871,3.816180622,2.8103828
20170601,-5,EV,B,195.9375,0.98946583,16.557674,3.483333333,2.207689867
20170601,-5,EV,B,235.92969,0.9899077,17.92202,4.1943056,2.389602667
20170601,-5,EV,B,312.6328,0.9725087,21.415127,5.557916444,2.855350267
20170601,-5,EV,B,314.42188,0.9545426,23.492357,5.589722311,3.132314267
20170601,-5,EV,B,178.96875,0.9820595,16.393803,3.181666667,2.1858404
20170601,-5,EV,B,244.25,0.9742759,19.169374,4.342222222,2.555916533
20170601,-5,EV,B,299,0.9782712,20.996817,5.315555556,2.7995756
20170601,-5,EV,B,309.4375,0.9625204,20.84418,5.501111111,2.779224
20170601,-5,EV,B,234.5,0.99457467,17.867565,4.168888889,2.382342
20170601,-5,EV,B,169.11719,0.97163486,16.616148,3.006527822,2.2154864
20170601,-5,EV,B,253.73438,0.98481137,18.765587,4.510833422,2.502078267
20170601,-5,EV,B,185.25,0.97497314,17.033646,3.293333333,2.2711528
20170601,-5,EV,B,142.875,0.99240476,14.029018,2.54,1.870535733
20170601,-5,EV,B,112.72656,0.97243965,13.292849,2.004027733,1.772379867
20170601,-5,EV,B,153.02344,0.90341854,17.931019,2.720416711,2.390802533
20170601,-5,EV,B,109.82031,0.86374515,15.886139,1.952361067,2.118151867
20170601,-5,EV,B,150.71094,0.97687787,15.347412,2.6793056,2.0463216
20170601,-5,EV,B,91.33984,0.9694126,12.242781,1.623819378,1.6323708
20170601,-5,EV,B,111.58594,0.96905595,13.550884,1.983750044,1.806784533
20170601,-5,EV,B,204.375,0.87444896,21.458138,3.633333333,2.861085067
20170601,-5,EV,B,120.53125,0.98979455,13.151469,2.142777778,1.7535292
20170601,-5,EV,B,306.0481,0.9329372,24.243896,5.440855111,3.232519467
20170601,-5,EV,B,185.80273,0.98098356,16.950996,3.303159644,2.2601328
20170601,-5,EV,B,271.625,0.97364753,21.113434,4.828888889,2.815124533
20170601,-5,EV,B,200.07959,0.99492407,16.558258,3.556970489,2.207767733
20170601,-5,EV,B,249.72266,0.9488879,21.204205,4.439513956,2.827227333
20170601,-5,EV,B,260.98438,0.96543425,20.891205,4.639722311,2.785494
20170601,-5,EV,B,234.625,0.9898946,18.442585,4.171111111,2.459011333
20170601,-5,EV,B,228.63086,0.98683673,17.73465,4.064548622,2.36462
20170601,-5,EV,B,365.53906,0.9483616,23.768467,6.498472178,3.169128933
20170601,-5,EV,B,262.26807,0.90154225,22.603283,4.662543467,3.013771067
20170601,-5,EV,B,208.76562,0.9864259,17.8143,3.7113888,2.37524
20170601,-5,EV,B,185.67188,0.9838052,16.663822,3.300833422,2.221842933
20170601,-5,EV,B,258.6289,0.9407143,21.097187,4.597847111,2.812958267
20170601,-5,EV,B,337.90625,0.9837588,21.830872,6.007222222,2.910782933
20170601,-5,EV,B,137.85938,0.9922834,13.722667,2.450833422,1.829688933
20170601,-5,EV,B,201.22656,0.9928169,16.504147,3.577361067,2.200552933
20170601,-5,EV,B,319.65625,0.96625763,22.467905,5.682777778,2.995720667
20170601,-5,EV,B,308.35938,0.98386145,20.91488,5.481944533,2.788650667
20170601,-5,EV,B,156.52344,0.9885612,15.207774,2.782638933,2.0277032
20170601,-5,EV,B,180.96484,0.98423564,16.414652,3.217152711,2.188620267
20170601,-5,EV,B,151.8125,0.98402095,14.932132,2.698888889,1.990950933
20170601,-5,EV,B,181.53125,0.9836148,15.77118,3.227222222,2.102824
20170601,-5,EV,B,176.98438,0.9820426,16.659351,3.146388978,2.2212468
20170601,-5,EV,B,348.78125,0.9450687,23.523344,6.200555556,3.136445867
20170601,-5,EV,B,255.04688,0.9452623,21.6644,4.534166756,2.888586667
